"Genus","meand15N","meand13C"
"Synuchus",3.215041532,-25.8541655271429
"Notiophilus",2.05508370675,-25.8591447675
"Cymindis",1.9933218775,-27.1564850066667
"Pterostichus",3.88276804796,-25.8687175572
"Calosoma",4.320059345,-26.87459403
"Gastrellarius",0.279746786,-27.41829783
"Amphasia",-1.3073002775,-25.34370784
"Paranchus",2.6776316355,-26.268237655
"Carabus",2.169885696,-25.04555743
"Sphaeroderus",2.002813955,-25.39242973
"Notiobia",2.34279605,-27.52394911
"Dicaelus",3.67863997633333,-25.3011326266667
